target_id,pairing_family,heuristic_label,llm_opus_label,author_label,author_confidence,author_rationale
GL_0077,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Gefitinib is explicitly described as 'a novel epidermal growth factor receptor tyrosine kinase inhibitor' evaluated in pretreated NSCLC.
GL_0091,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Gefitinib is named as an EGFR TKI and the meta-analysis relates EGFR gene copy number directly to its survival outcomes.
GL_0094,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Erlotinib is explicitly tested against a panel of EGFR mutants in cell-proliferation assays with IC50 sensitivity profiles.
GL_0101,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Crizotinib is the named ALK TKI whose target-domain resistance mechanisms in ALK+ NSCLC are characterised throughout the abstract.
GL_0105,gene_drug,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,,"MET amplification is shown to drive gefitinib resistance via ERBB3/PI3K signalling — a strong textual association between MET and gefitinib outcome, not direct regulation of MET by the drug."
GL_0118,gene_drug,DRUG_GENE_REGULATION,__NEGATIVE__,__NEGATIVE__,,"Although gefitinib is named, EGFR is not mentioned anywhere in the abstract; the trial compares gefitinib to chemotherapy without any EGFR-specific claim."
GL_0123,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Erlotinib is named as a first-generation reversible EGFR inhibitor whose activity against EGFR mutants (including erlotinib-resistant T790M) is directly discussed.
GL_0128,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Gefitinib (Iressa) is explicitly the EGFR kinase inhibitor whose sensitivity is linked to EGFR tyrosine-kinase-domain mutations.
GL_0129,variant_disease,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,,The abstract links the KRAS G12C variant to KRAS-driven Ral signalling and NSCLC outcomes; the gene–variant pair falls outside the four specific families and best maps to the general-association catch-all.
GL_0131,gene_drug,ASSOCIATION_GENERAL,__NEGATIVE__,__NEGATIVE__,,The abstract names only 'tyrosine kinase inhibitors (TKIs)' generically; erlotinib is not mentioned by name.
GL_0132,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,__NEGATIVE__,,"Afatinib is not named by its generic name; only its development code BIBW2992 appears once as a comparator, which under a literal reading does not name the drug entity."
GL_0138,gene_drug,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,__NEGATIVE__,,"Teprotumumab is referred to only by its development code R1507, not by its generic name, so under literal reading the drug entity is not present."
GL_0144,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,__NEGATIVE__,,"Dacomitinib appears only under its development code PF00299804, not its generic name, so by literal reading the drug entity is not named."
GL_0145,variant_disease,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,,EGFR amplification is extensively described as a feature of the EGFR gene in Barrett's adenocarcinoma; the gene–variant pair maps to the general-association label since no more specific family applies.
GL_0151,variant_disease,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,ASSOCIATION_GENERAL,,EGFR mutations are tied to EGFR-gene status and survival in lung adenocarcinoma; for a gene–variant pair this falls under the general-association catch-all.
GL_0154,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,"Gefitinib is named and EGFR mutation, copy number, and protein expression are all evaluated as biomarkers of its response in the INTEREST trial."
GL_0161,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,Crizotinib (PF-02341066) is explicitly the orally available small-molecule ALK tyrosine kinase inhibitor under clinical evaluation against ALK-rearranged NSCLC.
GL_0162,gene_drug,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,DRUG_GENE_REGULATION,,"Afatinib is explicitly named as an irreversible ErbB-family blocker active in EGFR-mutant lung adenocarcinoma, a direct drug-on-target relationship."
