PMID,Abstract,Status,PMCID
30126148,"Hyperspectral sensors, especially the close-range hyperspectral camera, have been widely introduced to detect biological processes of plants in the high-throughput phenotyping platform, to support the identification of biotic and abiotic stress reactions at an early stage. However, the complex geometry of plants and their interaction with the illumination, severely affects the spectral information obtained. Furthermore, plant structure, leaf area, and leaf inclination distribution are critical indexes which have been widely used in multiple plant models. Therefore, the process of combination between hyperspectral images and 3D point clouds is a promising approach to solve these problems and improve the high-throughput phenotyping technique. We proposed a novel approach fusing a low-cost depth sensor and a close-range hyperspectral camera, which extended hyperspectral camera ability with 3D information as a potential tool for high-throughput phenotyping. An exemplary new calibration and analysis method was shown in soybean leaf experiments. The results showed that a 0.99 pixel resolution for the hyperspectral camera and a 3.3 millimeter accuracy for the depth sensor, could be achieved in a controlled environment using the method proposed in this paper. We also discussed the new capabilities gained using this new method, to quantify and model the effects of plant geometry and sensor configuration. The possibility of 3D reflectance models can be used to minimize the geometry-related effects in hyperspectral images, and to significantly improve high-throughput phenotyping. Overall results of this research, indicated that the proposed method provided more accurate spatial and spectral plant information, which helped to enhance the precision of biological processes in high-throughput phenotyping.",valid,6111299
16180315,We present the initial results of retroperitoneal laparoscopic surgery in the Hospital Universitario La Paz from July 2004 to December 2004. The program started after 2 years of pelvic laparoscopy surgery practice. The initial experience has been so good that we have reduced the contraindications for this technique and we have increased the number of laparoscopic surgery cases.,valid,
1910436,"To determine the impact of long-term immunosuppression on serum lipids in stable renal graft recipients we measured serum lipids and apolipoprotein B concentrations in 20 patients receiving therapy with cyclosporin (CsA) and low-dose prednisolone (CsA/P) and in 18 patients on therapy with azathioprine and maintenance steroids (Aza/P). The patients were matched for age, body mass index, primary renal disease and dose of prednisolone, but not for the duration in transplantation and serum creatinine concentration. Triglyceride concentrations were significantly higher in the CsA/P group than in Aza/P-treated patients: 2.62 +/- 0.35 vs 1.62 +/- 0.23 mmol/l (P less than 0.05). Similarly, total cholesterol (C) levels were significantly more elevated in the CsA/P recipients than in the other group: 7.44 +/- 0.32 vs 5.84 +/- 0.25 (P less than 0.02). CsA/P patients had higher serum levels of LDL-C (4.79 +/- 0.20 vs 3.43 +/- 0.19 mmol/l (P less than 0.001) and apolipoprotein B concentrations (191 +/- 13 vs 128 +/- 9 mg/dl: P less than 0.001). CsA/P and Aza/P recipients had similar concentrations of HDL-C (1.73 +/- 0.13 vs 1.52 +/- 0.09 mmol/l: NS). We conclude that in stable renal graft recipients with good transplant function long-term immunosuppression with CsA/P is associated with a more atherogenic lipid status than therapy with Aza/P.",valid,
27335331,"Survival reflects the accumulation of multiple influences experienced over the life course. Given the amount of time usually spent at work, the influence of work may be particularly important. We examined the association between work-related stress in midlife and subsequent mortality, investigating whether sense of coherence modified the association.",valid,
21995590,"The primary objective was to assess the efficacy, cycle control and tolerability of a monophasic combined oral contraceptive (COC) containing nomegestrol acetate (NOMAC) and 17β-oestradiol (E2). Effects on acne were evaluated as a secondary objective. Results were compared to those of a COC containing drospirenone (DRSP) and ethinylestradiol (EE).",valid,3233274
31467278,"Complementary assays are required to comprehensively map complex biological entities such as genomes, proteomes and interactome networks. However, how various assays can be optimally combined to approach completeness while maintaining high precision often remains unclear. Here, we propose a framework for binary protein-protein interaction (PPI) mapping based on optimally combining assays and/or assay versions to maximize detection of true positive interactions, while avoiding detection of random protein pairs. We have engineered a novel NanoLuc two-hybrid (N2H) system that integrates 12 different versions, differing by protein expression systems and tagging configurations. The resulting union of N2H versions recovers as many PPIs as 10 distinct assays combined. Thus, to further improve PPI mapping, developing alternative versions of existing assays might be as productive as designing completely new assays. Our findings should be applicable to systematic mapping of other biological landscapes.",valid,6715725
7152509,"The authors report a case of chest skeletal muscle involvement by recurrent adenocarcinoma of the breast, in which individual myofibers were invaded by breast carcinoma cells. This unusual type of skeletal muscle involvement is especially interesting because it is known that the sarcolemma of skeletal myofibers is very resistant to enzymatic, mechanical, and chemical breakage.",valid,
19616778,To assess the effectiveness and tolerability of misoprostol to reduce the amount and duration of vaginal bleeding following surgical evacuation for first trimester spontaneous abortion.,valid,
42126,"A new simple method for the preparation of a liquid medium containing rabbit serum for the propagation of Treponema hyodysenteriae and other porcine intestinal spirochaetes is described. The medium, when dispensed in shallow layers and sealed under 10 per cent CO2 in nitrogen, had a redox potential not greater than -125mV and an initial pH of about 6.9 when buffered with bicarbonate. Growth of T hyodysenteriae developed more rapidly and viable counts reached higher levels at 42 degrees C than at 37 degrees C. Viable counts increased at least 10,000-fold after two to five days' incubation, depending on the temperature. Growth could be initiated from small inocula that failed to produce colonies on blood agar. Using a 1 per cent inoculum, the medium supported the growth of two strains of T hyodysenteriae through 10 serial passages.",valid,
8789124,"To determine the specific contribution of cytoskeletal proteins to cellular viscoelasticity we performed rheological experiments with Dictyostelium discoideum wild-type cells (AX2) and mutant cells altered by homologous recombination to lack alpha-actinin (AHR), the ABP120 gelation factor (GHR), or both of these F-actin cross-linking proteins (AGHR). Oscillatory and steady flow measurements of Dictyostelium wild-type cells in a torsion pendulum showed that there is a large elastic component to the viscoelasticity of the cell pellet. Quantitative rheological measurements were performed with an electronic plate-and-cone rheometer, which allowed determination of G', the storage shear modulus, and G"", the viscous loss modulus, as a function of time, frequency, and strain, respectively. Whole cell viscoelasticity depends strongly on all three parameters, and comparison of wild-type and mutant strains under identical conditions generally produced significant differences. Especially stress relaxation experiments consistently revealed a clear difference between cells that lacked alpha-actinin as compared with wild-type cells or transformants without ABP120 gelation factor, indicating that alpha-actinin plays an important role in cell elasticity. Direct observation of cells undergoing shear deformation was done by incorporating a small number of AX2 cells expressing the green fluorescent protein of Aequorea victoria and visualizing the strained cell pellet by fluorescence and phase contrast microscopy. These observations confirmed that the shear strain imposed by the rheometer does not injure the cells and that the viscoelastic response of the cell pellet is due to deformation of individual cells.",valid,1225007
25417522,"Absence of speech rehabilitation services is one of the critical difficulties in care for clefts in Thailand and some other developing countries. The objective of this study was to determine the effectiveness of the ""Khon Kaen Community-Based Speech Therapy Model"" in decreasing the number of articulation defects in children with cleft palate and/or lip. Sixteen children with cleft palate and/or lip in 6 districts of Maha Sarakham Province were enrolled for study. A three-day intensive speech camp was held in Srinagarind Hospital and followed by an outreach program of six one-day follow-up speech camps in Maha Sarakham Hospital. Six paraprofessionals, speech assistants, provided home- or community- based speech correction every week for one year. Numbers of various articulation errors were compared pre- and post-treatment using the Wilcoxon signed-rank test. The number of articulation defects showed a statistically significant reduction (mean difference = 10; Z = -3.52; p < 0.001; 95% CI: 8-13). The ""Khon Kaen Community-Based Speech Therapy Model"" is one of the best models for solving speech therapy problems in areas of Thailand lacking speech services and can be applied to other developing countries.",valid,
27008086,"Amphotericin B (AMB) is a highly hydrophobic antifungal, whose use is limited by its toxicity and poor solubility. To improve its solubility, AMB was reacted with a functionalized polyethylene glycol (PEG), yielding soluble complex AmB-PEG formulations that theoretically comprise of chemically conjugated AMB-PEG and free AMB that is physically associated with the conjugate. Reverse-phase chromatography and size exclusion chromatography methods using HPLC were developed to separate conjugated AMB-PEG and free AmB, enabling the further characterization of these formulations. Using HPLC and dynamic light scattering analyses, it was observed that the AMB-PEG 2 formulation, having a higher molar ratio of 2 AMB: 1 PEG, possesses more free AMB and has relatively larger particle diameters compared to the AMB-PEG 1 formulation, that consists of 1 AMB: 1 PEG. The identity of the conjugate was also verified using mass spectrometry. AMB-PEG 2 demonstrates improved antifungal efficacy relative to AMB-PEG 1, without a concurrent increase in in vitro toxicity to mammalian cells, implying that the additional loading of free AMB in the AMB-PEG formulation can potentially increase its therapeutic index. Compared to unconjugated AMB, AMB-PEG formulations are less toxic to mammalian cells in vitro, even though their MIC50 values are comparatively higher in a variety of fungal strains tested. Our in vitro results suggest that AMB-PEG 2 formulations are two times less toxic than unconjugated AMB with antifungal efficacy on Candida albicans and Cryptococcus neoformans.",valid,4805162
2559420,"A total of 18 purified lignans was evaluated for antiviral activity against murine cytomegalovirus (CMV) and Sindbis virus, by means of different treatment regimens. Podophyllotoxin and alpha-peltatin were the most potent compounds, and they apparently inhibited murine CMV at an essential early step in the replication cycle after the adsorption of virus to the cells. On the other hand, justicidin B and the diphyllin derivatives were much more effective against Sindbis virus, and 12 of the lignans had no demonstrable effect at all, despite their known activities in other bioassays.",valid,
1828435,"During an infection, a microbial pathogen must acquire all of its iron from the host. Aeromonas isolated producing the siderophore amonabactin obtain iron either from host Fe-transferrin (siderophore dependent) or from host heme-containing molecules (siderophore independent). Isolates producing the siderophore enterobactin do not utilize Fe-transferrin in serum and probably rely exclusively on host heme iron.",valid,
29397987,"Colored wheat varieties and crosses were analyzed to figure out their anthocyanin profiles, and thus, their potential as health-related food. After method development, the obtained 94 anthocyanin fingerprints allowed the clear differentiation of the blue aleurone and purple pericarp genotypes as well as their breeding lines. The method was trimmed so that the complete analysis of the whole grain flour including sample preparation of up to 20 samples on one plate took less than 3 h (<9 min per sample) and total costs including sample preparation were <1.0 Euro/sample. Sample preparation of the complex wheat matrix was reduced to a minimum (only acidified methanol extraction of the ground whole wheat grain). Separation was well achieved on amino phases with a mixture of ethyl acetate, 2-butanone, water and formic acid. It was superior to the separation on either normal or reversed phases and more robust with regard to intrinsic pH variances of the sample extracts. Pattern recognition of anthocyanins was simply performed by visual detection (the image), a key feature of high-performance thin-layer chromatography. Wheat varieties and crosses with higher anthocyanin contents were easily selectable, and thus, successfully made out. Prominent anthocyanin zones were characterized by electrospray ionization mass spectrometry. Their sugar moiety was characterized via methanolysis and compared with the sugars available freely in the whole wheat grain. The developed profiling is a fast and efficient screening tool with option for quantification or identification on the same HPTLC plate.",valid,
15664175,"Voltage-gated sodium channels with ""resurgent"" kinetics are specialized for high-frequency firing. The alpha subunits interact with a blocking protein that binds open channels upon depolarization and unbinds upon repolarization, producing resurgent sodium current. By limiting classical inactivation, the cycle of block and unblock shortens refractory periods. To characterize the blocker in Purkinje neurons, we briefly exposed inside-out patches to substrate-specific proteases. Trypsin and chymotrypsin each removed resurgent current, consistent with established roles for positively charged and hydrophobic/aromatic groups in blocking sodium channels. In Purkinje cells, the only known sodium channel-associated subunit that has a cytoplasmic sequence with several positive charges and clustered hydrophobic/aromatic residues is beta4 (KKLITFILKKTREK; beta4(154-167)). After enzymatic removal of block, beta4(154-167) fully reconstituted resurgent current, whereas scrambled or point-mutated peptides were ineffective. In CA3 pyramidal neurons, which lack beta4 and endogenous block, beta4(154-167) generated resurgent current. Thus, beta4 may be the endogenous open-channel blocker responsible for resurgent kinetics.",valid,
33050198,The purpose of this study was to examine the effect of plasma rich in growth factors (PRGFs) under blue light conditions in an in vivo model of retinal degeneration.,valid,7590176
18313998,"The prevalence of sexually transmitted diseases (STD) has risen in recent years [Brown AE, Sadler KE, Tomkins SE, McGarrigle CA, LaMontagne DS, Goldberg D, et al. Recent trends in HIV and other STIs in the United Kindom: data to the end of 2002. Sex Transm Infect 2004;80:159-66]. Homosexually active men have frequent intestinal and rectal symptoms due to sexually acquired gastrointestinal infections [Surawicz CM, Goodell SE, Quinn TC, Roberts PL, Corey L, Holmes KK, et al. Spectrum of rectal biopsy abnormalities in homosexual men with intestinal symptoms. Gastroenterology 1986;91:651-9]. The number of reported cases of primary syphilis is increasing especially among this group of people [Goh BT. Syphilis in adults. Sex Transm Infect 2005;81:448-52 ]. We herein describe a case of a young man with a primary syphilitic rectal localization mimicking rectal cancer.",valid,
28396581,"BACKGROUND Splenic arteriovenous fistula (AVF) is a rare cause of portal hypertension which may manifest with abdominal pain, diarrhea, ascites, and/or hematemesis. Fistula formation may be traumatic or spontaneous. Eighty-six percent of spontaneous splenic AVFs occur in women, and 55% are associated with a preexisting splenic artery aneurysm. CASE REPORT A 64-year-old Caucasian female with unremarkable past medical history presented with new onset of left lower quadrant abdominal pain and persistent diarrhea. CTA demonstrated dilated mesenteric veins consistent with portal hypertension. A 1-cm splenic artery aneurysm associated with a splenic AVF was identified and confirmed by celiac angiography. The splenic artery was embolized both distal and proximal to and within the aneurysm sac. Completion arteriography showed minimal flow throughout the splenic artery, and there was no flow into the splenic AVF. CONCLUSIONS Traditionally, splenectomy has been the definitive treatment, but coil embolization has been recently reported. Successful coil embolization of a splenic AVF is described. Physicians should be aware of this pathology as an etiology of portal hypertension.",valid,5395133
16641947,"Neurocognition is moderately to severely impaired in patients with schizophrenia. However, the factor structure of the various neurocognitive deficits, the relationship with symptoms and other variables, and the minimum amount of testing required to determine an adequate composite score has not been determined in typical patients with schizophrenia. An 'all-comer' approach to cognition is needed, as provided by the baseline assessment of an unprecedented number of patients in the CATIE (Clinical Antipsychotic Trials of Intervention Effectiveness) schizophrenia trial. From academic sites and treatment providers representative of the community, 1493 patients with chronic schizophrenia were entered into the study, including those with medical comorbidity and substance abuse. Eleven neurocognitive tests were administered, resulting in 24 individual scores reduced to nine neurocognitive outcome measures, five domain scores and a composite score. Despite minimal screening procedures, 91.2% of patients provided meaningful neurocognitive data. Exploratory principal components analysis yielded one factor accounting for 45% of the test variance. Confirmatory factor analysis showed that a single-factor model comprised of five domain scores was the best fit. The correlations among the factors were medium to high, and scores on individual factors were very highly correlated with the single composite score. Neurocognitive deficits were modestly correlated with negative symptom severity (r=0.13-0.27), but correlations with positive symptom severity were near zero (r<0.08). Even in an 'all-comer' clinical trial, neurocognitive deficits can be assessed in the overwhelming majority of patients, and the severity of impairment is similar to meta-analytic estimates. Multiple analyses suggested that a broad cognitive deficit characterizes this sample. These deficits are modestly related to negative symptoms and essentially independent of positive symptom severity.",valid,
37404800,The aza-Friedel-Crafts reaction allows an efficient coupling of electron-rich aromatic systems with imines for the facile incorporation of aminoalkyl groups into the aromatic ring. This reaction has a great scope of forming aza-stereocenters which can be tuned by different asymmetric catalysts. This review assembles recent advances in asymmetric aza-Friedel-Crafts reactions mediated by organocatalysts. The mechanistic interpretation with the origin of stereoselectivity is also explained.,valid,10315893
26314429,"To investigate the effect of SH2-Caspase 8 fusion protein expressed by recombinant adenovirus AdE-SH2-Caspase8-HA-GFP (SC) on the apoptosis of K562/G01 cell line, which is a BCR/ABL positive chronic myeloid leukemia cell line and resistant to imatinib.",valid,
2460700,"This study examined the frequently heard claim that aphasic listeners have more difficulty understanding speech in situations where there are multiple speakers than in situations where there is a single speaker. Nine stories about everyday events were written and videotaped as monologues, dialogues with one dominant speaker, and dialogues with both speakers contributing comparable amounts of information. Eighteen aphasic and 9 non-brain-damaged adults watched and listened to the videotapes. Listeners' comprehension and retention of the stories were tested by yes/no questions following each story. The three versions of the stories were understood and remembered equally well by aphasic and non-brain-damaged listeners, suggesting that listening to two speakers does not appreciably increase comprehension difficulty. These results suggest that factors other than the extent to which different speakers contribute to the topic of conversation are responsible for aphasic listeners' reported difficulties in comprehending multiple-speaker conversational interactions.",valid,
15043929,"Macromolecular sedimentation in inhomogeneous media is of great practical importance. Dynamic density gradients have a long tradition in analytical ultracentrifugation, and are frequently used in preparative ultracentrifugation. In this paper, a new theoretical model for sedimentation in inhomogeneous media is presented, based on finite element solutions of the Lamm equation with spatial and temporal variation of the local solvent density and viscosity. It is applied to macromolecular sedimentation in the presence of a dynamic density gradient formed by the sedimentation of a co-solute at high concentration. It is implemented in the software SEDFIT for the analysis of experimental macromolecular concentration distributions. The model agrees well with the measured sedimentation profiles of a protein in a dynamic cesium chloride gradient, and may provide a measure for the effects of hydration or preferential solvation parameters. General features of protein sedimentation in dynamic density gradients are described.",valid,
24421433,"The complexity of cancer chemotherapy requires pharmacists be familiar with the complicated regimens and highly toxic agents used. This column reviews various issues related to preparation, dispensing, and administration of antineoplastic therapy, and the agents, both commercially available and investigational, used to treat malignant diseases. Questions or suggestions for topics should be addressed to Dominic A. Solimando, Jr, President, Oncology Pharmacy Services, Inc., 4201 Wilson Blvd #110-545, Arlington, VA 22203, e-mail: OncRxSvc@aol.comcast.net; or J. Aubrey Waddell, Professor, University of Tennessee College of Pharmacy; Oncology Pharmacist, Pharmacy Department, Blount Memorial Hospital, 907 E. Lamar Alexander Parkway, Maryville, TN 37804, e-mail: waddfour@charter.net.",valid,3859275
27591877,"Inflammation, extracellular matrix proteins (hydroxyproline, connective tissue growth factor, collagen, and fibronectin), stem and progenitor cells (multipotent mesenchymal stromal cells, Clara cells, angiogenesis, precursors, endothelial and epithelial cells) were studied in female C57Bl/6 mice with experimental elastase-induced emphysema. Diffuse emphysema reduced the number of endothelial (CD45(-)CD31(+)CD34(+)) and epithelial (CD45(-)CD117(+)CD49f(+)) cells, induced microcirculation disturbances, and decreased the area occupied by the connective tissue. Emphysematous changes in the lungs were accompanied by infiltration of the alveolar septa with macrophages and lymphocytes, increase in the serum and lung concentrations of transforming growth factor-β, IL-1β, IL-2, IL-5, IL-10, and IL-13, and lung concentration of IL-17. In the lungs, inflammation was associated with marked increase in the number of multipotent mesenchymal stromal cells CD90(+)CD73(+)CD106(+)CD44(+)) and Clara cells (CD45(-)CD34(-)CD31(-)Sca1(+)) and overexpression of extracellular matrix proteins (hydroxyproline, connective tissue growth factor, collagen, fibronectin) and Clara cells protein. On the other hand, elastase reduced the number of angiogenic precursor cells (CD45(-)CD117(+)Flk1(+)).",valid,
25072790,Tuberculous cold abscesses or gumma are an unusual form of tuberculosis. We report a case of gumma as initial diagnosis of disseminated tuberculosis.,valid,
35343641,"Social media (SM) is ubiquitous in modern society. How SM provides information, advice, and community to families coping with childhood brain tumors is poorly understood. We sought to understand how caregivers of children with brain tumors use and are affected by SM.",valid,9468429
