PMID,Abstract,Status
37150779,"Artificial intelligence (AI) is transforming the field of medical imaging and has the potential to bring medicine from the era of 'sick-care' to the era of healthcare and prevention. The development of AI requires access to large, complete, and harmonized real-world datasets, representative of the population, and disease diversity. However, to date, efforts are fragmented, based on single-institution, size-limited, and annotation-limited datasets. Available public datasets (e.g., The Cancer Imaging Archive, TCIA, USA) are limited in scope, making model generalizability really difficult. In this direction, five European Union projects are currently working on the development of big data infrastructures that will enable European, ethically and General Data Protection Regulation-compliant, quality-controlled, cancer-related, medical imaging platforms, in which both large-scale data and AI algorithms will coexist. The vision is to create sustainable AI cloud-based platforms for the development, implementation, verification, and validation of trustable, usable, and reliable AI models for addressing specific unmet needs regarding cancer care provision. In this paper, we present an overview of the development efforts highlighting challenges and approaches selected providing valuable feedback to future attempts in the area.Key points• Artificial intelligence models for health imaging require access to large amounts of harmonized imaging data and metadata.• Main infrastructures adopted either collect centrally anonymized data or enable access to pseudonymized distributed data.• Developing a common data model for storing all relevant information is a challenge.• Trust of data providers in data sharing initiatives is essential.• An online European Union meta-tool-repository is a necessity minimizing effort duplication for the various projects in the area.",valid
33095090,"Peripheral lymphopenia is a well-known negative prognostic marker in classical Hodgkin lymphoma (cHL). We characterized the peripheral B-cell compartment in a prospective cohort of 83 pediatric cHL patients. We observed significantly low total B-cell counts (<100 cells/µl) in 31 of 83 patients (37%). More specifically, there was a smaller peripheral IgD",valid
31030749,"Heparin is an anticoagulant medication that was discovered in 1917 and used in clinic since 1935. Low molecular weight heparins (LMWHs) represent a refined use of heparin as anticoagulant medications that were developed in 1980s. LMWHs are obtained by cleaving heparin with different chemical or enzymatic methods. Eight chemically distinct and officially approved LMWHs are Bemiparin, Certoparin, Dalteparin, Enoxaparin, Nadroparin, Parnaparin, Reviparin, and Tinzaparin. LMWHs are mainly used for preventing blood clots, for treating deep vein thrombosis and pulmonary embolism, and for treating myocardial infarction. LMWHs have advantages over heparin in that they can be used at home with good predictability, dose-dependent plasma levels, a long half-life, less bleeding for a given antithrombotic even, smaller risk of osteoporosis in long-term use, and smaller risk of heparin-induced thrombocytopenia and thrombosis, a potential side effect of heparin. However, heparin is reversible with protamine sulfate while LMWHs have no antidote. Moreover, LMWHs have less of an effect on inhibiting thrombin activity than heparin. Furthermore, patients with end-stage renal diseases have to use heparin because LMWHs are dependent on functioning kidney for their clearance but heparin is primarily cleared in the liver. We will review the recent progress made on the clinically approved and under clinical trialed LMWHs and their potential medical applications. In particular, we will provide an update on the chemical characteristics and clinical use of different branded LMWHs. In addition, the potential clinical applications of LMWHs in other therapeutic area will also be discussed.",valid
31304827,"This is a review of developments in the field of potency, which is an essential estimator for drug design. We discuss the basic concepts of research and discovery, focusing on how misinterpretation in this area, - but also intuition and serendipity, which are common in drug design - helped us to pave a bumpy road towards better drugs. How far we still are from this goal can be seen in the Eroom law, which states that the efficiency of pharma research and development is decreasing. At the same time, pharma bestsellers are getting older.",valid
23352618,"Haptic information, provided by a non-rigid tool (i.e., an ""anchor system""), can reduce body sway in individuals who perform a standing postural task. However, it was not known whether or not continuous use of the anchor system would improve postural control after its removal. Additionally, it was unclear as to whether or not frequency of use of the anchor system is related to improved control in older adults. The present study evaluated the effect of the prolonged use of the anchor system on postural control in healthy older individuals, at different frequencies of use, while they performed a postural control task (semi-tandem position). Participants were divided into three groups according to the frequency of the anchor system's use (0%, 50%, and 100%). Pre-practice phase (without anchor) was followed by a practice phase (they used the anchor system at the predefined frequency), and a post-practice phase (immediate and late-without anchor). All three groups showed a persistent effect 15min after the end of the practice phase (immediate post-practice phase). However, only the 50% group showed a persistent effect in the late post-practice phase (24h after finishing the practice phase). Older adults can improve their postural control by practicing the standing postural task, and use of the anchor system limited to half of their practice time can provide additional improvement in their postural control.",valid
35836323,"The incidence of feeding and eating problems and disorders (FEPD) in children increased during the coronavirus disease 2019 (COVID-19) pandemic. The aim of this study was to assess the impact of the COVID-19 pandemic on young children with FEPD and their parents. Cross-sectional survey: parents of children with FEPD (0-11 years) in the Netherlands completed an online questionnaire (January-April 2021). This questionnaire included 4 demographic questions (including criteria of pediatric feeding disorder [PFD] and/or avoidant/restrictive food intake disorder [ARFID]) and 11 questions related to experienced impact of the COVID-19 pandemic. Parental responses regarding children with FEPD (including PFD and ARFID) were compared with those of healthy controls (HCs). In total, 240 children (median age, 5.5 years; interquartile range [IQR], 3.5-7.9 years; 53.3% female) were included; 129 children with FEPD and 111 HC. Most children with FEPD fulfilled criteria for PFD (n = 119; 92.2%) and/or ARFID (n = 117; 90.7%). Parents of children with FEPD reported more stress (of their child [ P = 0.014] and parental stress [ P = 0.014]), worse eating by the child ( P &lt; 0.001), more negative relations within the family ( P = 0.006), and less support from the environment ( P = 0.001) compared with parents of HC during the COVID-19 pandemic than before. It seems that the COVID-19 pandemic had great impact on young children with FEPD and their parents because parents of children with FEPD reported significantly more perceived stress within both the child and parents, more difficult eating behavior of the child, more negative behavior between family members, and less support from the environment as compared with HC.",valid
2316808,"This study compares the traditional method (TM) of evaluating ward performance on the surgical clerkship with four structured, single-observer methods (SSOM) of evaluating the clinical skills demonstrated in patient workups, progress notes, physical examination, and technical performance. SSOM differed from TM in preciseness of evaluation criteria, training of evaluator, and amount of direct observation of clinical performance. SSOM appeared to be a more precise measurement instrument than TM and far more sensitive to the detection of clinical improvement. The study documents the significant contribution of a nurse-educator to the evaluation process, as this contribution correlates well with TM yet provides a unique and independent perspective. Finally, SSOM of evaluation correlated significantly with oral examination and the National Board of Medical Examiners (NBME) test results. Addition of SSOM to TM is recommended for clerkship evaluation of ward performance.",valid
7049964,"Tc99m labeled diethylenetriaminepentaacetic acid (Tc-99m-DTPA) is an appropriate in vivo test solute for all extracorporeal detoxification procedures. The molecular weight of the Tc-99m-DTPA complex is within the biologically relevant middle molecular range of 400 to 700 daltons. Tc-99m-DTPA is distributed in the extracellular space in the same way as inulin. Regarding its localization in the gel filtration spectra and plasma clearance, Tc-99m-DTPA corresponds to middle molecule peak 2. The evaluation of elimination rate and plasma clearance CP of Tc-99m-DTPA is possible by measuring the pulse rates before and after the detoxification device. Taking into account the corrections for Ht and UFR, the Tc-99m-DTPA plasma clearances were calculated for different dialyzers, high flux dialyzers, hemofilters and a hemoperfusion device. The continuous measurement of pulse rates and the use of a UFR-controller (A2008) allow an exact tracking of CP vs. time, the estimation of CP (QB), CP(UFR) and of the sieving coefficient. Examples are given for these cases. It was shown that an increase in plasma clearance to more than about 100 ml/min does not greatly increase the Tc-99m-DTPA elimination rate.",valid
30126148,"Hyperspectral sensors, especially the close-range hyperspectral camera, have been widely introduced to detect biological processes of plants in the high-throughput phenotyping platform, to support the identification of biotic and abiotic stress reactions at an early stage. However, the complex geometry of plants and their interaction with the illumination, severely affects the spectral information obtained. Furthermore, plant structure, leaf area, and leaf inclination distribution are critical indexes which have been widely used in multiple plant models. Therefore, the process of combination between hyperspectral images and 3D point clouds is a promising approach to solve these problems and improve the high-throughput phenotyping technique. We proposed a novel approach fusing a low-cost depth sensor and a close-range hyperspectral camera, which extended hyperspectral camera ability with 3D information as a potential tool for high-throughput phenotyping. An exemplary new calibration and analysis method was shown in soybean leaf experiments. The results showed that a 0.99 pixel resolution for the hyperspectral camera and a 3.3 millimeter accuracy for the depth sensor, could be achieved in a controlled environment using the method proposed in this paper. We also discussed the new capabilities gained using this new method, to quantify and model the effects of plant geometry and sensor configuration. The possibility of 3D reflectance models can be used to minimize the geometry-related effects in hyperspectral images, and to significantly improve high-throughput phenotyping. Overall results of this research, indicated that the proposed method provided more accurate spatial and spectral plant information, which helped to enhance the precision of biological processes in high-throughput phenotyping.",valid
16180315,We present the initial results of retroperitoneal laparoscopic surgery in the Hospital Universitario La Paz from July 2004 to December 2004. The program started after 2 years of pelvic laparoscopy surgery practice. The initial experience has been so good that we have reduced the contraindications for this technique and we have increased the number of laparoscopic surgery cases.,valid
1910436,"To determine the impact of long-term immunosuppression on serum lipids in stable renal graft recipients we measured serum lipids and apolipoprotein B concentrations in 20 patients receiving therapy with cyclosporin (CsA) and low-dose prednisolone (CsA/P) and in 18 patients on therapy with azathioprine and maintenance steroids (Aza/P). The patients were matched for age, body mass index, primary renal disease and dose of prednisolone, but not for the duration in transplantation and serum creatinine concentration. Triglyceride concentrations were significantly higher in the CsA/P group than in Aza/P-treated patients: 2.62 +/- 0.35 vs 1.62 +/- 0.23 mmol/l (P less than 0.05). Similarly, total cholesterol (C) levels were significantly more elevated in the CsA/P recipients than in the other group: 7.44 +/- 0.32 vs 5.84 +/- 0.25 (P less than 0.02). CsA/P patients had higher serum levels of LDL-C (4.79 +/- 0.20 vs 3.43 +/- 0.19 mmol/l (P less than 0.001) and apolipoprotein B concentrations (191 +/- 13 vs 128 +/- 9 mg/dl: P less than 0.001). CsA/P and Aza/P recipients had similar concentrations of HDL-C (1.73 +/- 0.13 vs 1.52 +/- 0.09 mmol/l: NS). We conclude that in stable renal graft recipients with good transplant function long-term immunosuppression with CsA/P is associated with a more atherogenic lipid status than therapy with Aza/P.",valid
27335331,"Survival reflects the accumulation of multiple influences experienced over the life course. Given the amount of time usually spent at work, the influence of work may be particularly important. We examined the association between work-related stress in midlife and subsequent mortality, investigating whether sense of coherence modified the association. Self-reported work-related stress was assessed in 1393 Swedish workers aged 42-65 who participated in the nationally representative Level of Living Survey in 1991. An established psychosocial job exposure matrix was applied to measure occupation-based stress. Sense of coherence was measured as meaningfulness, manageability and comprehensibility. Mortality data were collected from the Swedish National Cause of Death Register. Data were analyzed with hazard regression with Gompertz distributed baseline intensity. After adjustment for socioeconomic position, occupation-based high job strain was associated with higher mortality in the presence of a weak sense of coherence (HR, 3.15; 1.62-6.13), a result that was stronger in women (HR, 4.48; 1.64-12.26) than in men (HR, 2.90; 1.12-7.49). Self-reported passive jobs were associated with higher mortality in the presence of a weak sense of coherence in men (HR, 2.76; 1.16-6.59). The link between work stress and mortality was not significant in the presence of a strong sense of coherence, indicating that a strong sense of coherence buffered the negative effects of work-related stress on mortality. Modifications to work environments that reduce work-related stress may contribute to better health and longer lives, especially in combination with promoting a sense of coherence among workers.",valid
21995590,"The primary objective was to assess the efficacy, cycle control and tolerability of a monophasic combined oral contraceptive (COC) containing nomegestrol acetate (NOMAC) and 17β-oestradiol (E2). Effects on acne were evaluated as a secondary objective. Results were compared to those of a COC containing drospirenone (DRSP) and ethinylestradiol (EE). Women (aged 18-50 years) were randomised to receive NOMAC/E2 (2.5 mg/1.5 mg) in a 24/4-day regimen (n=1591) or DRSP/EE (3 mg/30 μg) in a 21/7-day regimen (n=535) for 13 cycles. Estimated Pearl Indices for NOMAC/E2 and DRSP/EE were 0.38 and 0.81 in women aged≤35 years and 0.31 and 0.66 for all women (18-50 years), respectively. Scheduled withdrawal bleedings were shorter and lighter among users of NOMAC/E2 and were sometimes absent altogether. Intracyclic bleeding/spotting was infrequent in both groups, and decreased over time. Type and frequency of adverse events were similar to those typically reported for COCs. These data show that NOMAC/E2 provides high contraceptive efficacy with acceptable cycle control as well as an overall adverse event profile similar to that of DRSP/EE.",valid
31467278,"Complementary assays are required to comprehensively map complex biological entities such as genomes, proteomes and interactome networks. However, how various assays can be optimally combined to approach completeness while maintaining high precision often remains unclear. Here, we propose a framework for binary protein-protein interaction (PPI) mapping based on optimally combining assays and/or assay versions to maximize detection of true positive interactions, while avoiding detection of random protein pairs. We have engineered a novel NanoLuc two-hybrid (N2H) system that integrates 12 different versions, differing by protein expression systems and tagging configurations. The resulting union of N2H versions recovers as many PPIs as 10 distinct assays combined. Thus, to further improve PPI mapping, developing alternative versions of existing assays might be as productive as designing completely new assays. Our findings should be applicable to systematic mapping of other biological landscapes.",valid
7152509,"The authors report a case of chest skeletal muscle involvement by recurrent adenocarcinoma of the breast, in which individual myofibers were invaded by breast carcinoma cells. This unusual type of skeletal muscle involvement is especially interesting because it is known that the sarcolemma of skeletal myofibers is very resistant to enzymatic, mechanical, and chemical breakage.",valid
19616778,"To assess the effectiveness and tolerability of misoprostol to reduce the amount and duration of vaginal bleeding following surgical evacuation for first trimester spontaneous abortion. A total of 160 patients who underwent surgical evacuation for first trimester spontaneous abortion between 8 and 12 weeks of pregnancy were randomized into 2 groups to receive either 200 microg of oral misoprostol immediately after evacuation followed every 6 hours for 48 hours or no misoprostol. Pain scores, duration and amount of bleeding, and endometrial thickness were assessed over 10 days. Women who received misoprostol had significantly fewer bleeding days after evacuation (4.11+/-2.69 vs 5.89+/-3.06; P<0.001), fewer patients reported vaginal bleeding lasting 10 days or more (3.8% vs 15.0%; P=0.014), and endometrial thickness 10 days after evacuation was less (6.25+/-2.38 vs 7.23+/-1.94; P=0.05). Pain scores were comparable in both groups (1.54+/-0.65 vs 1.63+/-0.83; P=0.40) after 10 days. Oral misoprostol is effective in reducing the prevalence and amount of vaginal bleeding after surgical evacuation for first trimester spontaneous abortion.",valid
