pmid,pub_year,journal,publication_types,mesh_terms
25417522,2014,The Southeast Asian journal of tropical medicine and public health,"Journal Article; Research Support, Non-U.S. Gov't",Adolescent; Articulation Disorders; Child; Cleft Lip; Cleft Palate; Comorbidity; Female; Humans; Male; Prospective Studies; Speech Therapy; Thailand
27008086,2016,PloS one,"Journal Article; Research Support, Non-U.S. Gov't","Amphotericin B; Antifungal Agents; Candida albicans; Cell Line; Chemistry, Pharmaceutical; Chromatography, Gel; Chromatography, High Pressure Liquid; Cryptococcus neoformans; HEK293 Cells; Humans; Microbial Sensitivity Tests; Particle Size; Polyethylene Glycols; Solubility"
2559420,1989,Planta medica,Comparative Study; Journal Article,Antiviral Agents; Cytomegalovirus; Lignans; Lignin; Molecular Structure; Plants; Podophyllotoxin; Sindbis Virus
1828435,1991,Experientia,"Journal Article; Research Support, U.S. Gov't, P.H.S.; Review",Aeromonas; Cell Movement; Iron; Iron Chelating Agents; Oligopeptides; Siderophores; Virulence
29397987,2018,Journal of chromatography. A,Journal Article,"Anthocyanins; Breeding; Chromatography, Thin Layer; Flour; Food Analysis; Spectrometry, Mass, Electrospray Ionization; Triticum"
15664175,2005,Neuron,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.","Animals; Cell Membrane; Hippocampus; Ion Channel Gating; Mice; Mice, Inbred C57BL; Mice, Knockout; Mutation; Patch-Clamp Techniques; Peptide Hydrolases; Peptides; Protein Structure, Tertiary; Protein Subunits; Purkinje Cells; Pyramidal Cells; Sodium Channels; Voltage-Gated Sodium Channel beta-4 Subunit"
33050198,2020,International journal of molecular sciences,Journal Article,Animals; Biomarkers; Biopsy; Cell Survival; Electroretinography; Fluorescent Antibody Technique; Immunohistochemistry; Intercellular Signaling Peptides and Proteins; Intraocular Pressure; Light; Rats; Retinal Degeneration; Signal Transduction
18313998,2008,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,Case Reports; Journal Article,"Adult; Anti-Bacterial Agents; Chancre; Diagnosis, Differential; Homosexuality, Male; Humans; Male; Penicillin G; Rectal Diseases; Rectal Neoplasms; Sigmoidoscopy; Syphilis; Syphilis Serodiagnosis; Treatment Outcome"
28396581,2017,The American journal of case reports,Case Reports; Journal Article,"Aneurysm; Arteriovenous Fistula; Embolization, Therapeutic; Female; Humans; Hypertension, Portal; Middle Aged; Splenic Artery"
16641947,2006,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,Clinical Trial; Journal Article,"Adult; Cognition Disorders; Data Interpretation, Statistical; Female; Humans; Male; Memory; Neuropsychological Tests; Psychomotor Performance; Schizophrenic Psychology"
37404800,2023,Beilstein journal of organic chemistry,Journal Article; Review,
26314429,2015,Zhongguo shi yan xue ye xue za zhi,English Abstract; Journal Article,"Adenoviridae; Apoptosis; Caspase 8; Cell Line, Tumor; Cell Proliferation; Drug Resistance, Neoplasm; Humans; Imatinib Mesylate; K562 Cells; Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
2460700,1988,The Journal of speech and hearing disorders,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",Adult; Aphasia; Humans; Language Tests; Neuropsychological Tests; Speech Perception
15043929,2004,Biophysical chemistry,Journal Article,"Attention; Centrifugation, Density Gradient; Cesium; Chlorides; Macromolecular Substances; Mathematics; Models, Theoretical; Molecular Weight; Particle Size; Software; Solutions; Time; Viscosity"
24421433,2013,Hospital pharmacy,Journal Article,
27591877,2016,Bulletin of experimental biology and medicine,Journal Article,"Animals; Epithelial Cells; Extracellular Matrix Proteins; Female; Goblet Cells; Immunohistochemistry; Inflammation; Interleukin-10; Interleukin-13; Interleukin-17; Interleukin-2; Interleukin-5; Mice; Mice, Inbred C57BL; Pulmonary Emphysema; Stem Cells; Transforming Growth Factor beta"
25072790,2014,Revista espanola de sanidad penitenciaria,Case Reports; English Abstract; Journal Article,"Abscess; Adult; Humans; Immunocompetence; Male; Prisoners; Spain; Tuberculosis, Cutaneous"
35343641,2022,Cancer medicine,"Journal Article; Research Support, N.I.H., Extramural","Adaptation, Psychological; Brain Neoplasms; Caregivers; Child; Humans; Parents; Social Media"
2420505,1985,Clinical and laboratory haematology,Comparative Study; Journal Article,"Child; Child, Preschool; Female; Fetal Hemoglobin; Genotype; Globins; Hemoglobin A2; Heterozygote; Homozygote; Humans; Infant; Jamaica; Male; Thalassemia"
23339683,2013,"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians","Journal Article; Research Support, Non-U.S. Gov't","Adult; Amniotic Fluid; Chorioamnionitis; Female; Gastric Juice; Humans; Infant, Newborn; Infant, Premature; Inflammation Mediators; Interleukin-6; Interleukin-8; Pregnancy; Prenatal Exposure Delayed Effects; Retrospective Studies; Tumor Necrosis Factor-alpha"
29020506,2017,Preparative biochemistry & biotechnology,Journal Article,"Alginates; Animals; Blood Coagulation; Caseins; Cattle; Enzymes, Immobilized; Glucuronic Acid; Hexuronic Acids; Humans; Industrial Microbiology; Milk; Streptococcus; Streptokinase"
23945053,2013,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,"Journal Article; Research Support, Non-U.S. Gov't",Adolescent; Adolescent Behavior; California; Female; Friends; Health Promotion; Humans; Longitudinal Studies; Male; Smoking; Smoking Prevention
37490948,2025,The American journal of medicine,Journal Article,"Humans; Postural Balance; Case-Control Studies; Male; Female; COVID-19; Middle Aged; Fatigue Syndrome, Chronic; Post-Acute COVID-19 Syndrome; Adult; SARS-CoV-2"
37352204,2023,PloS one,"Journal Article; Research Support, Non-U.S. Gov't",Quantitative Trait Loci; Soybean Proteins; Chromosome Mapping; Plant Breeding; Glycine max; Plant Oils; Seeds
20410185,2010,Haematologica,"Journal Article; Research Support, Non-U.S. Gov't","Adult; Aged; Aged, 80 and over; Disease Progression; Female; Humans; Male; Middle Aged; Monoclonal Gammopathy of Undetermined Significance; Multiple Myeloma; Prognosis; Translocation, Genetic"
27755771,1991,Ecological applications : a publication of the Ecological Society of America,Journal Article,
3933412,1985,ANS. Advances in nursing science,Journal Article,Body Image; Emotions; Happiness; Health Promotion; Homeostasis; Human Development; Humans; Nursing Theory; Philosophy; Physical Stimulation; Quality of Life; Religion; Sensation; Social Perception
3420112,1988,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)","Journal Article; Research Support, U.S. Gov't, Non-P.H.S.","Animals; Arginine Vasopressin; Blood Pressure; Cysteamine; Diabetes Insipidus; Male; Rats; Rats, Inbred Strains; Vasopressins"
34502071,2021,International journal of molecular sciences,Journal Article,"Antigens, CD; B7-H1 Antigen; Binding Sites; Cells, Cultured; Chemokine CCL2; Chemokine CXCL6; Disulfides; Hepatitis A Virus Cellular Receptor 2; Humans; Interferon-gamma; Interleukin-6; Periodontitis; Protein Binding; Sulfinic Acids; T-Lymphocytes; Tumor Necrosis Factor-alpha; Lymphocyte Activation Gene 3 Protein"
17051598,2007,Biotechnology and bioengineering,Journal Article,"Animals; Anti-Inflammatory Agents; Antibodies, Monoclonal; Disease Models, Animal; Drug Carriers; Inflammation; Liposomes; Male; Myocardial Infarction; Myocardium; P-Selectin; Rats; Rats, Sprague-Dawley"
28114624,2017,JAMA internal medicine,"Journal Article; Research Support, Non-U.S. Gov't",Biotechnology; Conflict of Interest; Drug Industry; Equipment and Supplies; Financial Management; Healthcare Financing; Humans; Patient Advocacy; Policy Making; Public Health Administration; United States
11131883,2000,Journal of food protection,Journal Article,"Colony Count, Microbial; Escherichia coli O157; Food Preservation; Hydrogen-Ion Concentration; Penicillium; Phyllachorales; Rosales; Temperature; Time Factors"
19041664,2009,Mechanisms of ageing and development,"Journal Article; Research Support, Non-U.S. Gov't","ARNTL Transcription Factors; Animals; Basic Helix-Loop-Helix Transcription Factors; Behavior, Animal; Body Temperature; CLOCK Proteins; Caloric Restriction; Cell Cycle Proteins; Circadian Rhythm; Cryptochromes; Eating; Fasting; Feeding Behavior; Flavoproteins; Gene Expression Regulation; Intracellular Signaling Peptides and Proteins; Liver; Mice; Mice, Inbred C57BL; Mice, Transgenic; Nuclear Proteins; Period Circadian Proteins; Photoperiod; RNA; Time Factors; Trans-Activators; Transcription Factors; Urokinase-Type Plasminogen Activator"
22971227,2012,Biochemistry,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.","Absorptiometry, Photon; Adenosine Triphosphatases; Amino Acid Sequence; Binding Sites; Biological Transport; Carrier Proteins; Cloning, Molecular; Cobalt; Electron Spin Resonance Spectroscopy; Gene Expression Regulation, Bacterial; Gene Expression Regulation, Enzymologic; Molecular Sequence Data; Protein Binding; Rhodobacteraceae"
975589,1976,Clinica chimica acta; international journal of clinical chemistry,Journal Article,"Adenosine Deaminase; Alanine Transaminase; Aspartate Aminotransferases; Clinical Enzyme Tests; Diagnosis, Differential; Humans; Liver Cirrhosis; Liver Diseases; Nucleoside Deaminases"
34077824,2021,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,Journal Article,"Animals; Astrocytes; Blood-Brain Barrier; Capillary Permeability; Cells, Cultured; Coculture Techniques; Core Binding Factor Alpha 2 Subunit; Disease Models, Animal; Electric Impedance; Endothelial Cells; Intracranial Hemorrhages; Male; MicroRNAs; Occludin; Rats, Sprague-Dawley; Signal Transduction; Zonula Occludens-1 Protein; Rats"
21049259,2004,Journal of applied oral science : revista FOB,Journal Article,
27736158,2016,Journal of endourology,Journal Article,"Adult; Aged; Coated Materials, Biocompatible; Disease Progression; Female; Follow-Up Studies; Humans; Male; Metals; Middle Aged; Nephrostomy, Percutaneous; Patient Safety; Polymers; Polytetrafluoroethylene; Prosthesis Design; Radiography, Abdominal; Retrospective Studies; Risk Factors; Stents; Treatment Outcome; Ureter; Ureteral Diseases; Ureteral Obstruction; Urinary Fistula; Uterine Cervical Neoplasms; Vaginal Fistula"
2562571,1989,Stomatologiia. Stomatology,Case Reports; English Abstract; Journal Article,Child; Humans; Male; Salivary Gland Fistula; Sublingual Gland
10592246,2000,Nucleic acids research,"Journal Article; Research Support, Non-U.S. Gov't","Amino Acid Sequence; Databases, Factual; Genome; Molecular Sequence Data; Proteins; Sequence Homology, Amino Acid"
34143881,2021,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,"Journal Article; Research Support, Non-U.S. Gov't","Adolescent; Adult; Anti-Bacterial Agents; Drug Resistance, Bacterial; Escherichia coli; Escherichia coli Infections; Female; Humans; Microbial Sensitivity Tests; Models, Theoretical; Retrospective Studies; United States; Urinary Tract Infections; beta-Lactamases"
18970220,2005,Talanta,Journal Article,
27667546,2016,"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",Journal Article,Alveoloplasty; Cleft Palate; Female; Follow-Up Studies; Gingivoplasty; Humans; Infant; Male; Periosteum; Plastic Surgery Procedures; Retrospective Studies; Treatment Outcome
9353857,1997,Psychopathology,Journal Article,Adolescent; Adult; Family; Female; Humans; Interpersonal Relations; Male; Middle Aged; Predictive Value of Tests; Prospective Studies; Psychiatric Status Rating Scales; Schizophrenia; Schizophrenic Psychology
8233986,1993,Pediatric dentistry,Journal Article,"Adolescent; Adult; Aversive Therapy; Chi-Square Distribution; Child; Dental Anxiety; Dental Care; Dentist-Patient Relations; Female; Humans; Male; Memory; Restraint, Physical; Retrospective Studies"
23549407,2013,Journal of molecular endocrinology,"Journal Article; Research Support, Non-U.S. Gov't","3T3-L1 Cells; Adipocytes; Adipokines; Aldosterone; Animals; Apelin; Dose-Response Relationship, Drug; Gene Expression Regulation; Glucocorticoids; Intercellular Signaling Peptides and Proteins; Male; Mice; Mineralocorticoids; RNA, Messenger; Signal Transduction; p38 Mitogen-Activated Protein Kinases"
11798752,2000,Zhonghua yi xue za zhi,English Abstract; Journal Article,"Adipose Tissue, Brown; Animals; Blood Glucose; Cholesterol; Diabetes Mellitus, Type 2; Glucose Tolerance Test; Insulin; Lipid Metabolism; Male; Muscle, Skeletal; Organ Size; Pancreas; Rats; Rats, Inbred OLETF; Triglycerides"
38124204,2023,Journal of translational medicine,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Mice; Humans; Phosphatidylinositol 3-Kinases; Tumor-Associated Macrophages; Mice, Nude; Leukotriene B4; Cholangiocarcinoma; Tumor Microenvironment; Cell Line, Tumor; Arachidonate 5-Lipoxygenase"
23114860,2013,Integrative biology : quantitative biosciences from nano to macro,"Journal Article; Research Support, Non-U.S. Gov't; Review",Animals; Cell Adhesion; Humans; Immunological Synapses; Lymphocyte Activation; Lymphocytes; Microspectrophotometry; Molecular Imaging
26021346,2015,Torture : quarterly journal on rehabilitation of torture victims and prevention of torture,"Journal Article; Research Support, Non-U.S. Gov't","Awareness; Denmark; Emotions; Ethnicity; Female; Follow-Up Studies; Humans; Male; Middle Aged; Physical Therapy Modalities; Psychotherapy, Group; Quality of Life; Refugees; Retrospective Studies; Stress, Psychological; Surveys and Questionnaires"
3367658,1988,Journal of neuroscience methods,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Anticonvulsants; Calcium; Cerebral Cortex; Convulsants; Corpus Callosum; Disease Models, Animal; Electric Stimulation; Epilepsy; Evoked Potentials; Female; In Vitro Techniques; Magnesium; Male; Rats; Rats, Inbred Strains"
16133256,2005,Mycorrhiza,"Journal Article; Research Support, Non-U.S. Gov't","Adaptation, Physiological; Chlorophyll; Chlorophyll A; Disasters; Electron Transport; Fungi; Mycorrhizae; Photosynthesis; Plant Shoots; Proline; Rosa; Symbiosis"
17805045,2007,Journal of pediatric hematology/oncology,Case Reports; Journal Article,Adrenal Gland Neoplasms; Child; Fatal Outcome; Humans; Magnetic Resonance Imaging; Male; Neoplasm Staging; Neuroblastoma
26414996,2015,International journal of occupational safety and ergonomics : JOSE,Journal Article,"Adult; Circadian Rhythm; Cross-Sectional Studies; Female; Health Personnel; Humans; Male; Middle Aged; Nursing; Occupational Diseases; Sleep; Sleep Disorders, Circadian Rhythm; Young Adult"
30574116,2018,Frontiers in psychology,Journal Article,
30691748,2019,Journal of bodywork and movement therapies,Journal Article; Randomized Controlled Trial,Adult; Age of Onset; Deglutition Disorders; Double-Blind Method; Female; Humans; Male; Middle Aged; Multiple Sclerosis; Pilot Projects; Speech-Language Pathology
18690111,2008,Behavioural pharmacology,"Comparative Study; Journal Article; Research Support, N.I.H., Intramural","Animals; Antidepressive Agents; Chromosome Deletion; Depressive Disorder; Desipramine; Disease Models, Animal; Dopamine Plasma Membrane Transport Proteins; Fluoxetine; GABA Plasma Membrane Transport Proteins; Helplessness, Learned; Mice; Mice, Inbred C57BL; Mice, Knockout; Motivation; Motor Activity; Norepinephrine Plasma Membrane Transport Proteins; Phenotype; Piperazines; Sucrose; Swimming; Taste"
37170562,2024,"Medicine, science, and the law",Journal Article,Male; Female; Humans; Portugal; Clavicle; Forensic Anthropology; Ethnicity; Scapula; Sex Determination by Skeleton; Discriminant Analysis
33251309,2020,Data in brief,Journal Article,
28093585,2017,"Chemical communications (Cambridge, England)",Journal Article,Adsorption; Dihydroxyphenylalanine; Metal-Organic Frameworks; Naproxen; Polymers; Porosity; Stereoisomerism; Surface Properties; Ultraviolet Rays
38398814,2024,Nutrients,Journal Article,"Rats; Male; Animals; Aspartame; Rats, Wistar; Sweetening Agents; RNA, Messenger; Potassium"
21995149,2011,Clinical and experimental obstetrics & gynecology,Journal Article,Adult; Female; Gynecologic Surgical Procedures; Humans; Middle Aged; Obstetric Surgical Procedures; Urinary Tract; Vesicovaginal Fistula; Young Adult
25025967,2014,Journal of adolescence,Journal Article,Adolescent; Adolescent Behavior; Attitude; China; Communication; Female; Humans; Male; Parent-Child Relations; Parenting; Smoking; Smoking Prevention
18852102,2008,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",Evaluation Study; Journal Article,"Amino Acid Substitution; Bias; Codon; Computer Simulation; Evolution, Molecular; Genetic Code; Likelihood Functions; Models, Genetic; Phylogeny; Selection, Genetic"
2118505,1990,Journal of bacteriology,"Journal Article; Research Support, U.S. Gov't, P.H.S.","Amino Acid Sequence; Bacillus subtilis; Bacterial Proteins; Base Sequence; Codon; Genotype; Molecular Sequence Data; Mutation; Oligonucleotide Probes; Phenotype; Restriction Mapping; Sigma Factor; Spores, Bacterial; Suppression, Genetic; Transcription Factors"
19422607,2009,Pigment cell & melanoma research,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Animals; Cell Transformation, Neoplastic; Cyclin-Dependent Kinase Inhibitor p16; Female; Humans; Melanocytes; Melanoma; Mice; Mice, Nude; Neoplasm Transplantation; Proto-Oncogene Proteins c-met; Skin Neoplasms"
27059462,2016,BMC medical genomics,"Journal Article; Research Support, N.I.H., Extramural","Biomarkers, Tumor; Carcinoma, Hepatocellular; Cluster Analysis; Disease-Free Survival; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Genetic Heterogeneity; Humans; Kaplan-Meier Estimate; Liver Neoplasms; Liver Transplantation; MicroRNAs; Neoplasm Recurrence, Local"
22939711,2013,Endocrinologia y nutricion : organo de la Sociedad Espanola de Endocrinologia y Nutricion,Journal Article; Review,Animals; Dyslipidemias; Enterocytes; Humans; Insulin Resistance; Intestinal Mucosa; Lipoproteins; Triglycerides
34323292,2021,Alimentary pharmacology & therapeutics,Journal Article; Meta-Analysis; Systematic Review,"Adult; Colitis, Ulcerative; Crohn Disease; Cross-Sectional Studies; Eating; Female; Humans; Inflammatory Bowel Diseases; Male"
19234916,2009,British journal of neurosurgery,Case Reports; Journal Article; Review,"Adult; Brain Neoplasms; Diagnosis, Differential; Frontal Lobe; Humans; Male; Neurilemmoma; Tomography, X-Ray Computed; Treatment Outcome"
2374566,1990,The New England journal of medicine,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Cholesterol, HDL; Cholesterol, LDL; Dietary Fats; Fatty Acids, Monounsaturated; Female; Humans; Lauric Acids; Male; Myristic Acid; Myristic Acids; Oleic Acids; Palmitic Acid; Palmitic Acids; Stearic Acids; Stereoisomerism"
22582700,2012,Perceptual and motor skills,Journal Article,"Adult; Athletic Performance; Competitive Behavior; Data Interpretation, Statistical; Environment Design; Female; Humans; Male; Motivation; Sex Factors; Social Environment; Spain; Sports; Territoriality; Young Adult"
37749521,2023,BMC cancer,Clinical Trial Protocol; Journal Article,"Humans; Carboplatin; Carcinoma, Non-Small-Cell Lung; Clinical Trials, Phase II as Topic; ErbB Receptors; Gefitinib; Lung Neoplasms; Multicenter Studies as Topic; Neoplasm Recurrence, Local; Pemetrexed; Receptor Protein-Tyrosine Kinases; Randomized Controlled Trials as Topic"
20371483,2010,Science translational medicine,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.","Acute Disease; Adult; Cell Compartmentation; Chronic Disease; HIV Infections; HIV-1; Homosexuality, Male; Humans; Male; Molecular Sequence Data; Phylogeny; RNA, Viral; Semen; Young Adult"
2920902,1989,General and comparative endocrinology,"Journal Article; Research Support, Non-U.S. Gov't",Androstenols; Animals; Carps; Cyanoketone; Cyprinidae; Hydroxysteroid Dehydrogenases; Oocytes
36053310,2023,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,Journal Article,Humans; Infant; Papilledema; Retrospective Studies; Craniotomy; Skull; Craniosynostoses
17408828,2007,Brain and cognition,"Journal Article; Research Support, Non-U.S. Gov't",Analysis of Variance; Blindness; Child; Female; Functional Laterality; Humans; Male; Orientation; Reaction Time; Reference Values; Sex Factors; Space Perception; Spatial Behavior
33890343,2022,Veterinary and comparative oncology,Journal Article,"Adenocarcinoma; Anal Sacs; Animals; Dog Diseases; Dogs; Radiation Injuries; Radiotherapy, Intensity-Modulated; Retrospective Studies"
25698980,2015,Frontiers in psychiatry,Journal Article,
6420697,1984,Molecular and biochemical parasitology,"Journal Article; Research Support, U.S. Gov't, P.H.S.",Age Factors; Animals; Aphidicolin; DNA; Diterpenes; Hydroxyurea; Plasmodium falciparum
38548028,2024,Fitoterapia,Journal Article,"Humans; STAT3 Transcription Factor; Molecular Docking Simulation; Triple Negative Breast Neoplasms; Isoxazoles; Cell Line, Tumor; Molecular Structure; Fatty Acids, Unsaturated; Network Pharmacology; Molecular Dynamics Simulation; Antineoplastic Agents, Phytogenic"
26381121,2015,BMC biology,"Journal Article; Research Support, Non-U.S. Gov't","Bacillus subtilis; Bacterial Proteins; Phosphorylation; Proteome; Spores, Bacterial"
23618404,2013,Acta veterinaria Scandinavica,"Journal Article; Research Support, Non-U.S. Gov't","Animals; Anisotropy; Diffusion Tensor Imaging; Dogs; Female; Male; Nerve Fibers, Myelinated; Spinal Cord"
